nz,Triton [FP16],Flash-2
1.000000,5.091920,2.787445
0.500000,2.415724,2.925012
0.400000,1.923392,2.927938
0.300000,1.439149,2.937212
0.200000,0.989043,2.944882
0.100000,0.511684,2.931829
