nz,Triton [FP16],Flash-2
1.000000,77.698051,43.685375
0.500000,37.694466,43.293697
0.400000,30.272171,43.302914
0.300000,22.867714,43.528191
0.200000,15.358293,43.621887
0.100000,7.765674,43.548161
