topk,Triton [FP16],Flash-2
0.000000,0.558507,148.698105
5.000000,8.804259,148.712448
10.000000,15.881045,148.080643
15.000000,22.873856,148.743164
20.000000,29.716139,148.847610
25.000000,36.601856,148.186111
30.000000,43.335167,148.840454
35.000000,50.037762,148.867065
40.000000,56.553471,149.311493
45.000000,63.150082,149.065735
50.000000,69.567490,149.496826
55.000000,75.957245,149.956604
60.000000,82.177025,150.344711
65.000000,88.700928,150.627335
70.000000,94.548988,150.773758
75.000000,100.648956,150.666245
80.000000,106.537987,150.658051
85.000000,112.579582,151.014404
90.000000,118.421501,151.046143
95.000000,124.249084,150.472702
100.000000,129.882111,150.923264
105.000000,135.629822,150.747131
110.000000,141.179901,150.739975
115.000000,146.719742,150.489090
120.000000,152.049667,150.569977
125.000000,157.533188,151.507965
130.000000,162.797562,151.497726
135.000000,168.035324,151.603195
140.000000,173.086716,151.513092
