topk,Triton [FP16],Flash-2
1.000000,1.013715,93.827072
2.000000,2.274853,93.338623
3.000000,2.936320,93.371391
4.000000,3.627717,93.199364
5.000000,4.254394,93.604866
6.000000,4.948428,93.193214
7.000000,5.573572,93.750275
8.000000,6.263672,93.199364
9.000000,6.880620,94.255104
10.000000,7.542358,93.891586
11.000000,8.192939,93.700096
12.000000,8.872215,93.196289
13.000000,9.526375,93.191170
14.000000,10.164679,93.773827
15.000000,10.827435,93.462524
16.000000,11.479937,94.446594
17.000000,12.136577,93.848579
18.000000,12.795759,94.000130
19.000000,13.454191,93.746178
20.000000,14.127275,94.036995
21.000000,14.769493,93.983742
22.000000,15.432874,93.192192
23.000000,16.126806,94.436356
24.000000,16.748545,94.323715
25.000000,17.404928,95.286270
26.000000,18.126028,97.382401
27.000000,18.718515,99.047424
28.000000,19.260212,98.412544
29.000000,20.037121,98.694145
30.000000,20.549118,100.449280
31.000000,21.165056,100.946945
32.000000,21.871616,100.076546
33.000000,22.672384,97.684479
34.000000,23.336704,98.889725
35.000000,24.014847,98.357246
36.000000,24.726528,97.986557
37.000000,25.311232,98.930687
38.000000,25.973078,99.796989
39.000000,26.627413,101.634048
40.000000,27.301207,97.383423
41.000000,27.931648,99.020798
42.000000,28.601343,98.242561
43.000000,29.258070,98.113533
44.000000,29.918892,97.432579
45.000000,30.577322,96.713730
46.000000,31.240534,96.063484
47.000000,31.897598,95.182846
48.000000,32.557053,95.964157
49.000000,33.213440,95.703041
50.000000,33.875969,96.602112
