topk,Triton [FP16],Flash-2
1.000000,2.844204,183.322617
2.000000,7.948840,183.146500
3.000000,10.985216,183.396347
4.000000,13.959459,183.801849
5.000000,16.865791,183.036926
6.000000,19.840614,184.053757
7.000000,22.664961,183.956482
8.000000,25.566208,183.226364
9.000000,28.451841,184.148987
10.000000,31.335764,183.777283
11.000000,34.274303,183.974915
12.000000,37.053440,183.815170
13.000000,39.918079,184.461319
14.000000,42.743294,184.550400
15.000000,45.552643,186.151932
16.000000,48.379906,185.146362
17.000000,51.201023,186.135559
18.000000,53.955585,187.041794
19.000000,56.741886,188.008453
20.000000,59.491329,186.819580
21.000000,62.271488,187.901947
22.000000,64.983040,185.975815
23.000000,67.740669,186.653702
24.000000,70.449150,186.647552
25.000000,73.125885,186.591232
26.000000,75.883522,185.328644
27.000000,78.532608,186.759171
28.000000,81.208321,186.683395
29.000000,83.872765,187.172867
30.000000,86.528000,185.010178
31.000000,89.122818,186.532867
32.000000,91.741180,184.747009
33.000000,94.308350,185.883652
34.000000,96.968704,185.457657
35.000000,99.565567,184.440826
36.000000,102.177795,185.201660
37.000000,104.732674,184.717316
38.000000,107.453438,185.413635
39.000000,111.280128,184.601593
40.000000,115.943420,184.458237
41.000000,119.623680,184.020996
42.000000,122.898430,184.693756
43.000000,126.328835,185.865219
44.000000,128.907257,184.186874
45.000000,132.316162,184.047623
46.000000,131.310593,185.732101
47.000000,134.055939,183.975937
48.000000,135.914490,183.748611
49.000000,136.678406,184.765442
50.000000,138.863617,185.968643
