nz,Triton-fp16,Torch-fp16
1.000000,1.779010,10.896954
0.500000,1.776975,9.037415
0.400000,1.778412,8.954042
0.300000,1.778708,8.914292
0.200000,1.778826,8.858903
0.100000,1.779003,7.716693
