topk,Triton [FP16],Flash-2
1.000000,2.132503,181.643265
2.000000,3.640975,178.933762
3.000000,4.913209,179.718140
4.000000,6.105966,179.663879
5.000000,7.330133,179.024902
6.000000,8.532173,179.041275
7.000000,9.677711,179.123199
8.000000,10.851712,178.998276
9.000000,12.017664,178.985977
10.000000,13.224229,179.275772
11.000000,14.373889,178.970627
12.000000,15.516501,179.206146
13.000000,16.726835,179.520508
14.000000,17.801626,179.075073
15.000000,18.913691,179.006470
16.000000,20.050432,179.400711
17.000000,21.221119,179.004410
18.000000,22.433537,180.508667
19.000000,23.628544,179.348480
20.000000,24.593069,181.459961
21.000000,25.753601,180.456451
22.000000,27.071487,181.404678
23.000000,28.259668,180.647934
24.000000,29.463892,181.199875
25.000000,30.658899,180.750336
26.000000,31.742636,181.603333
27.000000,32.882687,181.466110
28.000000,34.117119,181.544952
29.000000,35.155457,181.291016
30.000000,36.267006,181.022720
31.000000,37.409279,181.580795
32.000000,38.514687,181.531647
33.000000,39.653889,181.564423
34.000000,40.766975,182.002686
35.000000,41.892353,181.861374
36.000000,43.217918,183.716858
37.000000,44.525566,183.794693
38.000000,45.761536,184.407043
39.000000,47.040512,184.905731
40.000000,47.948288,184.755203
41.000000,49.103359,185.415680
42.000000,50.195457,183.770111
43.000000,51.319809,185.900024
44.000000,52.395008,184.366074
45.000000,53.541889,184.616959
46.000000,54.642689,185.114624
47.000000,55.742462,187.149307
48.000000,56.808449,188.558334
49.000000,57.939968,185.745407
50.000000,59.026432,187.985916
