topk,Triton [FP16],Flash-2
1.000000,2.063884,183.746567
2.000000,3.126706,181.369858
3.000000,4.156826,181.766144
4.000000,5.176627,182.105087
5.000000,6.191360,181.472260
6.000000,7.151762,181.400574
7.000000,8.224172,181.520386
8.000000,9.190028,181.498886
9.000000,10.240103,183.507965
10.000000,11.239993,181.552124
11.000000,12.205184,181.569534
12.000000,13.257437,181.616638
13.000000,14.228627,183.488510
14.000000,15.206912,182.496262
15.000000,16.226303,183.391235
16.000000,17.304575,183.862274
17.000000,18.253414,184.974335
18.000000,19.309978,182.743042
19.000000,20.279297,184.154114
20.000000,21.187840,183.232513
21.000000,22.348545,182.925308
22.000000,23.312384,183.392258
23.000000,24.325375,184.207367
24.000000,25.259352,183.391235
25.000000,26.060457,183.788544
26.000000,27.202560,183.874557
27.000000,28.266836,183.940094
28.000000,29.371050,183.793671
29.000000,30.380033,183.915527
30.000000,31.395498,184.457214
31.000000,32.408234,184.722427
32.000000,33.405952,183.297028
33.000000,34.397697,183.597061
34.000000,35.401215,186.093567
35.000000,36.425217,183.971848
36.000000,37.424126,184.324097
37.000000,38.407166,185.214981
38.000000,39.455231,185.487366
39.000000,40.403969,186.432510
40.000000,41.408512,186.214401
41.000000,42.386433,185.587708
42.000000,43.432961,186.253311
43.000000,44.385792,185.827332
44.000000,45.384193,186.970108
45.000000,46.371330,185.851898
46.000000,47.358978,186.986496
47.000000,48.362495,186.815491
48.000000,49.355774,186.713089
49.000000,50.330624,186.481659
50.000000,51.315712,187.456512
51.000000,52.310017,187.319290
52.000000,53.292030,187.054077
53.000000,54.283264,188.058624
54.000000,55.268353,187.411453
55.000000,56.245247,187.883514
56.000000,57.232384,187.702271
57.000000,58.200066,188.587006
58.000000,59.195393,191.053818
59.000000,60.171265,190.335999
60.000000,61.148159,190.297089
61.000000,62.127106,189.663239
62.000000,63.107071,189.989883
63.000000,64.079872,192.316422
64.000000,65.057793,192.558075
65.000000,66.027519,193.580032
66.000000,67.003395,191.718399
67.000000,67.974144,193.727493
68.000000,68.933632,192.646149
69.000000,69.905411,190.820358
70.000000,70.887421,191.785980
71.000000,71.855103,191.338501
72.000000,72.804352,190.561279
73.000000,73.771011,191.955963
74.000000,74.751999,188.924927
75.000000,75.708420,190.072830
76.000000,76.744705,190.047226
77.000000,78.324738,189.453308
78.000000,79.421440,190.968826
79.000000,80.246780,188.949509
80.000000,80.805885,189.760513
81.000000,81.603584,188.577789
82.000000,82.413567,189.037567
83.000000,83.375107,191.121414
84.000000,84.332542,189.671417
85.000000,85.288963,190.171143
86.000000,86.237183,189.303802
87.000000,87.181313,190.824448
88.000000,88.162308,190.004227
89.000000,89.107452,189.771774
90.000000,90.036224,187.945984
91.000000,90.990593,188.962814
92.000000,91.926529,189.267975
93.000000,92.883965,188.260345
94.000000,93.825027,187.878403
95.000000,94.767105,190.205948
96.000000,95.714302,188.730362
97.000000,96.653313,189.087738
98.000000,97.608704,189.033478
99.000000,98.540543,187.984894
100.000000,99.479553,190.062592
