nz,Triton-fp16,Torch-fp16
1.000000,8.021458,10.937686
0.875000,7.844438,10.747334
0.750000,6.250496,9.151590
0.625000,6.235476,9.131929
0.500000,6.154787,9.054003
0.375000,6.042048,8.941567
0.250000,5.989824,8.887575
0.125000,5.916032,8.817664
0.100000,4.815155,7.713536
0.050000,4.797082,7.696726
0.000000,1.781760,4.683980
