N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.146474,0.296843
2048.000000,0.111507,0.352785
4096.000000,0.141973,0.619737
8192.000000,0.129274,0.806081
16384.000000,0.193938,0.984352
32768.000000,0.366618,1.303329
65536.000000,0.766816,2.156353
131072.000000,1.778885,4.675072
262144.000000,4.659251,11.091072
