N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.141056,0.286180
2048.000000,0.148451,0.373115
4096.000000,0.141637,0.649845
8192.000000,0.175226,0.872841
16384.000000,0.415619,1.209745
32768.000000,0.744602,1.685448
65536.000000,1.747987,3.139004
131072.000000,5.951232,8.844847
262144.000000,16.326826,22.741505
