nz,Triton-fp16,Torch-fp16
1.000000,0.191240,0.884029
0.875000,0.191152,0.885164
0.750000,0.191352,0.883869
0.625000,0.190549,0.884558
0.500000,0.190352,0.883200
0.375000,0.177389,0.870948
0.250000,0.176516,0.869004
0.125000,0.173747,0.866540
0.100000,0.173046,0.864256
0.050000,0.186737,0.862095
0.000000,0.120713,0.803057
