N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.144455,0.286797
2048.000000,0.141483,0.373188
4096.000000,0.159545,0.649498
8192.000000,0.175352,0.872469
16384.000000,0.417413,1.212914
32768.000000,0.748734,1.687647
65536.000000,1.747717,3.139175
131072.000000,5.969792,8.861789
262144.000000,16.371712,22.785280
