N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.141931,0.291862
2048.000000,0.153814,0.375421
4096.000000,0.145997,0.651845
8192.000000,0.178526,0.876429
16384.000000,0.445943,1.241543
32768.000000,0.755319,1.694113
65536.000000,2.319001,3.714949
131072.000000,6.048128,8.949202
262144.000000,16.815104,23.231487
