N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.153600,0.281583
2048.000000,0.165635,0.364964
4096.000000,0.148832,0.637801
8192.000000,0.153734,0.850508
16384.000000,0.343456,1.138570
32768.000000,0.655132,1.595248
65536.000000,1.562346,2.955136
131072.000000,4.378392,7.270479
262144.000000,12.886016,19.312231
