nz,Triton-fp16,Torch-fp16
1.000000,0.145815,0.655203
0.875000,0.160945,0.655815
0.750000,0.141248,0.651570
0.625000,0.158914,0.650982
0.500000,0.153568,0.651304
0.375000,0.181254,0.651030
0.250000,0.156344,0.650498
0.125000,0.180395,0.649434
0.100000,0.146372,0.649313
0.050000,0.134015,0.637515
0.000000,0.117732,0.620513
