nz,Triton-fp16,Torch-fp16
1.000000,2.457953,3.851960
0.875000,2.422285,3.814605
0.750000,2.358528,3.750871
0.625000,2.351770,3.746447
0.500000,2.337894,3.730023
0.375000,2.315469,3.708771
0.250000,2.302377,3.693883
0.125000,1.748219,3.139823
0.100000,1.744471,3.136751
0.050000,1.629257,3.020932
0.000000,0.767981,2.155758
