N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.151650,0.292646
2048.000000,0.149182,0.374353
4096.000000,0.136385,0.656668
8192.000000,0.191726,0.892337
16384.000000,0.591969,1.385314
32768.000000,1.060482,2.000584
65536.000000,2.456926,3.850445
131072.000000,8.037973,10.932110
262144.000000,28.378113,34.812927
