nz,Triton-fp16,Torch-fp16
1.000000,1.058526,1.999004
0.875000,1.056422,1.994574
0.750000,1.044492,1.984555
0.625000,1.039794,1.981004
0.500000,1.033867,1.973226
0.375000,0.753856,1.692577
0.250000,0.751543,1.690472
0.125000,0.745871,1.686319
0.100000,0.689871,1.627849
0.050000,0.684712,1.621833
0.000000,0.366871,1.304057
