nz,Triton-fp16,Torch-fp16
1.000000,0.142107,0.339149
0.875000,0.172738,0.334459
0.750000,0.165077,0.335122
0.625000,0.163852,0.308861
0.500000,0.148752,0.296009
0.375000,0.152814,0.287322
0.250000,0.164602,0.338939
0.125000,0.131013,0.289231
0.100000,0.128535,0.285500
0.050000,0.135871,0.310610
0.000000,0.134992,0.308398
