N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.130896,0.268969
2048.000000,0.161596,0.363077
4096.000000,0.143749,0.649127
8192.000000,0.172708,0.868631
16384.000000,0.405643,1.201996
32768.000000,0.688500,1.627410
65536.000000,1.743969,3.134840
131072.000000,4.811469,7.703808
262144.000000,16.113834,22.533890
