nz,Triton-fp16,Torch-fp16
1.000000,28.390402,34.822144
0.875000,27.407358,33.842690
0.750000,20.349697,26.755411
0.625000,20.161282,28.400640
0.500000,19.881985,26.325674
0.375000,16.790119,23.211775
0.250000,16.524799,22.948353
0.125000,16.205996,22.612480
0.100000,16.127317,22.547968
0.050000,13.803520,20.230400
0.000000,4.673229,11.098112
