N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.148892,0.287205
2048.000000,0.138848,0.374503
4096.000000,0.137069,0.652288
8192.000000,0.191852,0.890521
16384.000000,0.447195,1.242084
32768.000000,1.044200,1.981919
65536.000000,2.358042,3.750052
131072.000000,6.252271,9.146777
262144.000000,20.341248,26.736641
