topk,Triton [FP16],Flash-2
1.000000,2.153424,184.176636
2.000000,3.776868,181.292038
3.000000,5.006734,180.529160
4.000000,6.238427,181.277695
5.000000,7.469654,180.938751
6.000000,8.584294,180.961273
7.000000,9.860665,181.341187
8.000000,11.041024,181.245956
9.000000,12.253477,181.454849
10.000000,13.390994,182.642685
11.000000,14.618625,181.625854
12.000000,15.758507,182.515717
13.000000,16.963379,181.856262
14.000000,18.110256,181.777405
15.000000,19.321651,182.972412
16.000000,20.507135,181.742599
17.000000,21.692926,184.073212
18.000000,22.944767,183.045120
19.000000,24.101889,184.059906
20.000000,25.152170,182.981628
21.000000,26.335915,183.391235
22.000000,27.486551,183.853058
23.000000,28.655273,183.940094
24.000000,29.812737,183.536636
25.000000,30.964737,184.176636
26.000000,32.136536,184.341507
27.000000,33.265152,184.431610
28.000000,34.386433,183.192581
29.000000,35.559425,184.160263
30.000000,36.716545,184.387589
31.000000,37.841408,183.997437
32.000000,38.955009,183.628799
33.000000,40.115711,184.432632
34.000000,41.233921,184.880127
35.000000,42.379265,184.582138
36.000000,43.473923,185.729019
37.000000,44.632065,185.289734
38.000000,45.743103,184.370178
39.000000,46.877697,187.547653
40.000000,48.379906,187.737091
41.000000,49.669632,187.637756
42.000000,50.788353,185.796616
43.000000,51.931137,185.040894
44.000000,53.015553,185.732101
45.000000,54.161407,186.344452
46.000000,55.267326,186.796036
47.000000,56.401920,185.726974
48.000000,57.473022,186.893311
49.000000,58.615807,188.181503
50.000000,59.715584,188.489731
