N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,2.199625,2.224859,1.000925
2048.000000,7.158942,7.193364,2.938476
4096.000000,25.481216,25.385302,9.799885
8192.000000,94.695427,94.703613,35.429375
16384.000000,372.524017,373.104645,135.740417
