N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,0.426236,0.633133,0.395325
2048.000000,1.586176,2.412436,1.478849
4096.000000,6.195814,9.616157,5.829146
8192.000000,24.205568,37.797375,23.023870
16384.000000,95.970306,151.120895,90.909698
