nz,Triton [FP16],Flash-2
1.000000,1442.108398,769.004517
0.500000,690.812927,772.183044
0.400000,551.360535,774.927368
0.300000,413.340668,778.346497
0.200000,275.768311,779.930603
0.100000,139.662338,774.000610
