nz,Triton-fp16,Torch-fp16
1.000000,0.125572,0.885866
0.500000,0.135329,0.885865
0.400000,0.136930,0.872127
0.300000,0.122113,0.871248
0.200000,0.135042,0.868538
0.100000,0.136724,0.866976
