N_CTX,Triton [FP16] + Pooling,Triton [FP8] + Pooling,Flash-2
1024.000000,2.180315,2.197861,0.981475
2048.000000,7.064734,7.041970,2.939377
4096.000000,24.867842,25.109846,9.885594
8192.000000,92.759041,92.819458,35.419136
16384.000000,365.165558,365.074432,133.211136
