N_CTX,Triton [FP16] + Pooling,Triton [FP8] + Pooling,Flash-2
1024.000000,0.772881,0.740864,0.387184
2048.000000,2.928416,2.795551,1.475760
4096.000000,11.691776,11.394689,5.765632
8192.000000,45.935616,45.328896,22.717440
16384.000000,182.346756,180.512772,90.899452
