nz,Triton-fp16,Torch-fp16
1.000000,8.021923,10.904462
0.500000,6.141338,9.052568
0.400000,6.037375,8.955626
0.300000,5.992128,8.894929
0.200000,5.947136,8.831348
0.100000,4.808704,7.715840
