topk,Triton [FP16],Flash-2
1.000000,0.992915,45.078529
2.000000,1.474755,44.841473
3.000000,2.021327,45.038589
4.000000,2.466002,44.857857
5.000000,2.952316,44.986881
6.000000,3.449600,44.897789
7.000000,3.955671,44.938240
8.000000,4.432058,44.968960
9.000000,4.947763,44.903423
10.000000,5.392157,44.989952
11.000000,5.892672,44.944897
12.000000,6.375493,45.056511
13.000000,6.875941,44.972031
14.000000,7.363899,44.883453
15.000000,7.855360,44.857857
16.000000,8.344832,44.908546
17.000000,8.831534,45.008385
18.000000,9.309081,44.942848
19.000000,9.798041,44.988930
20.000000,10.187890,44.877823
21.000000,10.670079,44.891647
22.000000,11.259520,44.830719
23.000000,11.863551,44.967422
24.000000,12.229888,44.962303
25.000000,12.715593,44.990974
26.000000,13.200823,44.882431
27.000000,13.651820,44.939774
28.000000,14.138223,44.947456
29.000000,14.627841,44.981247
30.000000,14.958934,44.909569
31.000000,15.593131,44.965378
32.000000,15.917911,44.841473
33.000000,16.545111,44.904961
34.000000,16.964607,44.946945
35.000000,17.497089,45.015549
36.000000,17.779507,45.021187
37.000000,18.366465,44.915710
38.000000,18.713804,44.861954
39.000000,19.219662,45.003265
40.000000,19.742107,44.962814
41.000000,20.210175,45.144066
42.000000,20.585983,45.125633
43.000000,21.034241,45.051392
44.000000,21.574656,44.968960
45.000000,21.945602,44.940800
46.000000,22.444033,44.890114
47.000000,22.954494,45.073410
48.000000,23.339775,44.921345
49.000000,24.003071,44.873215
50.000000,24.276480,44.971519
