topk,Triton [FP16],Flash-2
1.000000,1.374675,44.924416
2.000000,3.773184,44.652031
3.000000,5.171883,44.833794
4.000000,6.548846,44.981758
5.000000,7.815937,44.831230
6.000000,9.225728,44.933632
7.000000,10.575758,45.080063
8.000000,11.862144,45.003265
9.000000,13.169957,45.115906
10.000000,14.462295,44.898815
11.000000,15.747071,44.964352
12.000000,17.093222,44.963840
13.000000,18.342707,44.963329
14.000000,19.526451,45.074944
15.000000,20.759808,44.934143
16.000000,22.065407,44.969986
17.000000,23.485439,44.913155
18.000000,24.417791,45.074432
19.000000,25.798996,44.932098
20.000000,26.367317,44.955650
21.000000,27.969538,45.116928
22.000000,29.508606,44.984833
23.000000,30.296747,44.933632
24.000000,31.701675,44.872192
25.000000,32.918869,44.920830
