topk,Triton [FP16],Flash-2
1.000000,1.050562,44.999168
2.000000,1.793971,44.928001
3.000000,2.395879,44.891136
4.000000,2.984401,44.874237
5.000000,3.580510,45.030914
6.000000,4.135082,44.905983
7.000000,4.723127,44.976128
8.000000,5.277372,44.978176
9.000000,5.877097,44.898815
10.000000,6.443418,44.962814
11.000000,7.017911,44.967422
12.000000,7.572322,44.934654
13.000000,8.149333,44.929535
14.000000,8.704372,45.140480
15.000000,9.273344,44.955135
16.000000,9.827840,44.902401
17.000000,10.385635,44.909569
18.000000,10.968747,44.905472
19.000000,11.490305,45.040131
20.000000,12.065791,44.936192
21.000000,12.583168,44.896767
22.000000,13.123291,44.891136
23.000000,13.669229,44.942848
24.000000,14.206390,44.932098
25.000000,14.747136,44.853249
