Z,Torch,Triton
0.000000,0.021504,0.002048
1.000000,0.324608,0.196608
2.000000,0.621568,0.400384
3.000000,0.926720,0.648192
4.000000,1.139712,0.888832
5.000000,1.438720,1.115136
