Z,Torch,Triton
0.000000,0.002048,0.002048
1.000000,0.145408,0.136192
2.000000,0.289792,0.305152
3.000000,0.446464,0.461824
4.000000,0.499712,0.637952
5.000000,0.626688,0.858112
