nz,Triton [FP16],Flash-2
1.000000,671.295471,352.052216
0.875000,588.775452,353.033203
0.750000,505.035767,352.717834
0.625000,420.924408,352.508942
0.500000,337.244171,353.184753
0.375000,255.806458,355.717133
0.250000,168.615936,358.136841
0.125000,85.013504,355.593231
0.100000,67.881981,358.283264
0.050000,34.769409,360.697845
0.000000,0.309683,356.362244
