nz,Triton [FP16],Flash-2
1.000000,0.393385,0.243050
0.875000,0.320063,0.242592
0.750000,0.276741,0.245156
0.625000,0.227228,0.244767
0.500000,0.186943,0.243243
0.375000,0.139584,0.243027
0.250000,0.105310,0.243643
0.125000,0.070699,0.242576
0.100000,0.050001,0.243471
0.050000,0.016148,0.243210
0.000000,0.017331,0.242781
