nz,Triton [FP16],Flash-2
1.000000,78.593025,44.950016
0.875000,67.215363,45.100033
0.750000,57.423874,44.013565
0.625000,48.037376,44.252670
0.500000,37.998592,44.210175
0.375000,28.869291,43.918335
0.250000,19.285196,44.139519
0.125000,9.886605,43.967487
0.100000,7.909935,43.985405
0.050000,3.913635,44.520958
0.000000,0.160475,44.404224
