nz,Triton [FP16],Flash-2
1.000000,6287.581055,3397.282715
0.875000,5399.049316,3391.766602
0.750000,4591.083496,3399.246826
0.625000,3797.511230,3394.141113
0.500000,3018.179688,3391.751221
0.375000,2246.644775,3393.958984
0.250000,1487.125488,3406.988281
0.125000,739.323914,3395.179443
0.100000,591.552490,3394.906006
0.050000,295.190521,3447.359375
0.000000,1.216731,3391.669189
