nz,Triton [FP16],Flash-2
1.000000,0.708234,0.360906
0.875000,0.624736,0.360997
0.750000,0.541596,0.360414
0.625000,0.458383,0.349543
0.500000,0.380694,0.357391
0.375000,0.296693,0.363426
0.250000,0.217809,0.361664
0.125000,0.127681,0.361517
0.100000,0.105398,0.360246
0.050000,0.045572,0.361383
0.000000,0.015281,0.359340
