nz,Triton [FP16],Flash-2
1.000000,5.107928,2.938149
0.875000,4.310295,2.929986
0.750000,3.682265,2.908248
0.625000,3.029884,2.907022
0.500000,2.429790,2.938119
0.375000,1.819791,2.933292
0.250000,1.264318,2.931829
0.125000,0.663485,2.926972
0.100000,0.523703,2.910442
0.050000,0.311096,2.930717
0.000000,0.044976,2.916937
