N_CTX,Triton + Pooling,Flash-2,Triton
1024.000000,1.200567,0.538986,1.294290
2048.000000,3.896893,1.549147,4.010589
4096.000000,13.706972,5.077607,13.698730
8192.000000,51.314690,18.287001,50.735104
16384.000000,202.797058,68.337662,198.738937
32768.000000,810.933228,265.233398,791.549927
65536.000000,3263.429688,1051.979736,3160.135742
