N_CTX,Triton + Pooling,Flash-2,Triton
1024.000000,0.431974,0.200383,0.227385
2048.000000,1.577435,0.772949,0.849074
4096.000000,6.318373,2.959957,3.158601
8192.000000,24.790701,11.718272,12.418487
16384.000000,98.762749,46.636032,49.724419
32768.000000,395.246582,184.596481,198.177795
65536.000000,1611.321289,742.126587,788.984802
