N_CTX,pooling,flash,triton
1024.000000,0.162915,0.089230,0.107758
2048.000000,0.503306,0.242042,0.290945
4096.000000,1.796257,0.796709,0.920792
8192.000000,6.687305,2.908643,3.335850
16384.000000,25.740629,11.182080,12.561664
32768.000000,101.195778,43.830784,48.876030
65536.000000,402.164734,179.118073,195.037186
