N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.061507,0.133852
2048.000000,0.085927,0.223962
4096.000000,0.129491,0.417483
8192.000000,0.218461,0.731891
16384.000000,0.395790,1.142351
32768.000000,0.749900,2.079630
65536.000000,1.466005,4.020714
