N_CTX,Triton-fp16,Torch-fp16
1024.000000,0.061163,0.134737
2048.000000,0.086117,0.224249
4096.000000,0.130098,0.418055
8192.000000,0.219733,0.732016
16384.000000,0.395804,1.143033
32768.000000,0.747815,2.079904
65536.000000,1.464773,4.017509
