topk,Triton [FP16],Flash-2
0.000000,0.158510,43.470848
5.000000,1.911445,43.611649
10.000000,3.556628,43.485184
15.000000,5.200384,43.358719
20.000000,6.824888,43.778561
25.000000,8.449490,43.461632
30.000000,10.049537,43.349503
35.000000,11.644800,43.343872
40.000000,13.215159,43.478527
45.000000,14.770177,43.522560
50.000000,16.308565,43.422722
55.000000,17.843403,43.641853
60.000000,19.354010,43.336704
65.000000,20.848383,43.468803
70.000000,22.331139,43.459072
75.000000,23.782145,43.307518
80.000000,25.219414,43.385345
85.000000,26.650625,43.232254
90.000000,28.033365,44.082687
95.000000,29.440001,43.638783
100.000000,30.807722,43.801086
105.000000,32.154621,43.535873
110.000000,33.495041,43.711998
115.000000,34.811394,43.999744
120.000000,36.125694,43.760639
125.000000,37.435905,44.030975
130.000000,38.735359,43.490814
135.000000,39.925247,43.956223
140.000000,41.179138,43.539970
