topk,Triton-fp16,Torch-fp16
0.000000,0.667873,1.933547
2.000000,1.370616,2.636976
4.000000,1.412608,2.680920
6.000000,1.434331,2.700814
8.000000,1.447821,2.716292
10.000000,1.462685,2.728749
12.000000,1.469440,2.736821
14.000000,1.474728,2.743567
16.000000,1.480351,2.746850
18.000000,1.488325,2.756457
20.000000,1.494973,2.761909
22.000000,1.497004,2.765131
24.000000,1.500774,2.767872
26.000000,1.503403,2.770673
28.000000,1.506526,2.771486
30.000000,1.507174,2.776124
32.000000,1.508591,2.775944
34.000000,1.624576,2.889920
36.000000,1.626112,2.894784
38.000000,1.626825,2.893632
40.000000,1.628288,2.895712
42.000000,1.630190,2.894464
44.000000,1.629732,2.896960
46.000000,1.631488,2.897536
48.000000,1.632092,2.898656
50.000000,1.632311,2.898368
52.000000,1.634505,2.899904
54.000000,1.635419,2.902304
56.000000,1.635328,2.902496
58.000000,1.636443,2.902688
60.000000,1.638656,2.905024
62.000000,1.638089,2.904352
64.000000,1.637888,2.904672
66.000000,1.639095,2.905760
68.000000,1.640905,2.907840
70.000000,1.640411,2.907712
72.000000,1.641143,2.909120
74.000000,1.641216,2.909280
76.000000,1.641179,2.909728
78.000000,1.640997,2.908384
